package	version	architecture	installed_size_kib	file_size_bytes	sha256	filename
at-spi2-common	2.56.2-1+deb13u1	all	1348	170764	a86824c3f70c8ba4fb8243603208529692c066d9def2f61875cc03414b294bae	at-spi2-common_2.56.2-1+deb13u1_all.deb
fontconfig	2.15.0-2.3	amd64	681	463312	09794b188e042c90b4a89fcb5afeb276bc231b74ddf8a3efbbc7dfb6f0eac4cb	fontconfig_2.15.0-2.3_amd64.deb
fontconfig-config	2.15.0-2.3	amd64	533	318308	0475c00d02660c07a15085051818625331bb502e053242106aaaa1f2ddb41225	fontconfig-config_2.15.0-2.3_amd64.deb
fonts-dejavu-core	2.37-8	all	2292	840460	86635b3d25b3655fc11cb3ecc3af59f0bf19643b02b94f2de48bd10253cdba12	fonts-dejavu-core_2.37-8_all.deb
fonts-dejavu-mono	2.37-8	all	1281	488808	3003e98a5debfdeadc7040a7f715fe9fe6fb67f68deacf6049b54e30f07fc014	fonts-dejavu-mono_2.37-8_all.deb
fonts-freefont-ttf	20211204+svn4273-2	all	14460	5317872	50a67936694189a3609080f81afc14d49642dab37c1999328383fc7797174fdf	fonts-freefont-ttf_20211204+svn4273-2_all.deb
fonts-ipafont-gothic	00303-23	all	12223	3514948	5f8e0270654fec6577fffa96015067352440065c0b49bbc8b076745a6b4bf3d3	fonts-ipafont-gothic_00303-23_all.deb
fonts-liberation	1:2.1.5-3	all	4287	1475396	3d5c47480067b9615f6bf9b0eda6eefcab9d837af609827015445e8e759b5b8c	fonts-liberation_1%3a2.1.5-3_all.deb
fonts-noto-color-emoji	2.051-0+deb13u1	all	11013	10110428	03141cd51c0e9ff8ad858fcf2d8234f8a00ae4d7a0872df43a71519359c54e8c	fonts-noto-color-emoji_2.051-0+deb13u1_all.deb
fonts-tlwg-loma-otf	1:0.7.3-1	all	264	147048	a775452dfa77de3176bbb2b06f1fa61d5a95177a74a460a768ae82940e9407fc	fonts-tlwg-loma-otf_1%3a0.7.3-1_all.deb
fonts-unifont	1:15.1.01-1	all	32521	2211300	867d447c9b4b139a13c07d27b4f48df4d22e1ef21d29ff5e468a796fd9f2c635	fonts-unifont_1%3a15.1.01-1_all.deb
fonts-wqy-zenhei	0.9.45-8	all	16434	7478908	cfed2c29164ff2f133e40ed2046610b172b8618d174840936ac4ec9b6fd668e7	fonts-wqy-zenhei_0.9.45-8_all.deb
libasound2-data	1.2.14-1	all	196	21092	fe973f6467a6fc553ead004bd5aebfea4eb45c5da827cd3fb32650d9672ac947	libasound2-data_1.2.14-1_all.deb
libasound2t64	1.2.14-1	amd64	1264	381012	f03a2bd9d234f4e6d283c36520d66befd0952d6f5ba454badd8fae2305ad70a1	libasound2t64_1.2.14-1_amd64.deb
libatk-bridge2.0-0t64	2.56.2-1+deb13u1	amd64	280	68440	75a0258ccf7f1aa038e6da50779790dc53d8bd20c525356548056a59b3e4735b	libatk-bridge2.0-0t64_2.56.2-1+deb13u1_amd64.deb
libatk1.0-0t64	2.56.2-1+deb13u1	amd64	206	51976	34d443a2927f53d87daf918e342cb40c937d58df5352df5dab3a6cae1dba81f8	libatk1.0-0t64_2.56.2-1+deb13u1_amd64.deb
libatspi2.0-0t64	2.56.2-1+deb13u1	amd64	279	80680	2f79dc0e8117b07ae0e0cd373079d4f383a6ec701a2ffcc0b085216dc4abea52	libatspi2.0-0t64_2.56.2-1+deb13u1_amd64.deb
libavahi-client3	0.8-16	amd64	119	48384	27df3f1c0190d13ec6d014c5515c2ec8e9a49d0983f48fc9e5756ee4e62d7e37	libavahi-client3_0.8-16_amd64.deb
libavahi-common-data	0.8-16	amd64	760	112284	a3c0cb1326ed60cbbef133c31af28759f7a922d886d001a138d52bbf0af908d6	libavahi-common-data_0.8-16_amd64.deb
libavahi-common3	0.8-16	amd64	96	44224	fb092fc55f1c7f3db0ac64467f30ebae8145543570b8e99f17ce84cf1dd28bb6	libavahi-common3_0.8-16_amd64.deb
libbrotli1	1.1.0-2+b7	amd64	870	306624	0fb79f88db210afbd69282ab9649e525f393ec6950ca34da1a6b359250b8d7db	libbrotli1_1.1.0-2+b7_amd64.deb
